비트코인,"15,219,000원"
이더리움,"364,100원"
대시,"199,800원"
라이트코인,"139,900원"
이더리움 클래식,"9,130원"
리플,467원
비트코인 캐시,"490,200원"
모네로,"117,700원"
제트캐시,"137,000원"
퀀텀,"5,520원"
비트코인 골드,"33,050원"
이오스,"6,875원"
아이콘,395원
비체인,9.07원
트론,38.40원
엘프,239원
미스릴,59.20원
크립토닷컴,"7,095원"
오미세고,"2,819원"
카이버 네트워크,290원
골렘,106원
질리카,21.20원
에토스,219원
텐엑스,331원
왁스,88.20원
파워렛저,127원
루프링,92.90원
기프토,37.30원
스팀,490원
스트라티스,"1,687원"
제로엑스,340원
어거,"26,180원"
애터니티,696원
넴,124원
스테이터스네트워크토큰,32.00원
에이다,113원
파퓰러스,"4,185원"
코르텍스,607원
사이버마일즈,76.40원
쎄타토큰,137원
월튼체인,"3,081원"
아이오티체인,418원
트루체인,696원
아크블록,424원
원루트 네트워크,52.20원
플레이코인,18.30원
웨이브,"2,821원"
체인링크,"4,470원"
엔진코인,142원
프리마스,173원
솔트,263원
레이든네트워크토큰,"1,190원"
룸네트워크,113원
피벡스,"2,300원"
아이앤에스,541원
비트코인 다이아몬드,"2,809원"
베잔트,26.70원
스텔라루멘,124원
오디세이,4.06원
비트코인에스브이,"230,500원"
더마이다스터치골드,2.89원
베이직어텐션토큰,347원
위쇼토큰,21.70원
버지,20.00원
이오스트,16.60원
폴리매스,92.90원
하이퍼캐시,"5,000원"
롬,0.05원
아모코인,0.79원
이더제로,325원
에어론,696원
아피스,2.10원
메탈,"2,768원"
디에이씨씨,0.19원
다빈치,6.60원
비에이치피,"2,012원"
비트토렌트,1.79원
에이치닥,37.70원
펀디엑스,0.95원
큐브,2.00원
지엑스체인,"2,421원"
오브스,34.20원
밸러토큰,"3,185원"
코넌,18.20원
앵커,11.20원
믹스마블,81.40원
하이콘,13.60원
크레드,47.10원
